Start,End,Equipment ID,Error Type,Status
2017-07-15 13:11:03.0,2017-07-15 13:34:03.0,ch1,MS COMPRESSOR MALFUNCTION,Historical
2017-07-15 14:24:03.0,2017-07-15 14:47:03.0,ch1,MS COMPRESSOR MALFUNCTION,Historical
2017-07-15 15:25:03.0,2017-07-15 15:48:03.0,ch1,MS COMPRESSOR MALFUNCTION,Historical
2017-07-15 16:26:03.0,2017-07-15 16:49:03.0,ch1,MS COMPRESSOR MALFUNCTION,Historical
2017-07-24 11:08:03.0,2017-07-24 13:38:03.0,ch1,MS COMPRESSOR MALFUNCTION,Historical
2017-07-31 00:23:13.0,2017-07-31 11:34:13.0,ch2,INVERTER MALFUNCTION,Historical
2017-07-27 18:36:13.0,2017-07-27 21:55:13.0,ch2,FLOW SWITCH,Historical
2017-07-17 08:17:13.0,2017-07-17 11:35:13.0,ch2,INV COMPRESSOR MALFUNCTION,Historical
2017-07-24 11:08:13.0,2017-07-24 13:38:13.0,ch2,INV COMPRESSOR MALFUNCTION,Historical
2017-07-27 18:36:13.0,2017-07-27 21:55:13.0,ch2,MS COMPRESSOR MLOW PRESSURE SWITCH,Historical
2017-07-14 15:23:13.0,2017-07-17 11:35:13.0,ch2,MS COMPRESSOR MOTOR OVERLOAD,Historical
2017-07-24 11:08:13.0,2017-07-24 13:38:13.0,ch2,MS COMPRESSOR MOTOR OVERLOAD,Historical
2017-07-17 08:22:13.0,2017-07-17 11:35:13.0,ch2,MS COMPRESSOR MALFUNCTION,Historical
2017-07-24 11:08:13.0,2017-07-24 13:38:13.0,ch2,MS COMPRESSOR MALFUNCTION,Historical
2017-07-14 15:23:23.0,2017-07-17 07:56:23.0,ch3,COMPRESSOR 1 LOW PRESSURE SWITCH,Historical
2017-07-24 11:07:24.0,2017-07-24 13:38:23.0,ch3,COMPRESSOR 1 LOW PRESSURE SWITCH,Historical
2017-07-19 11:59:23.0,2017-07-20 10:43:23.0,ch3,COMPRESSOR 1 STATUS REVERT,Historical
2017-07-27 18:36:23.0,2017-07-27 21:55:23.0,ch3,COMPRESSOR 1 STATUS REVERT,Historical
2017-07-14 15:23:23.0,2017-07-17 11:35:23.0,ch3,COMPRESSOR 2 STATUS REVERT,Historical
2017-07-24 11:07:24.0,2017-07-24 13:38:23.0,ch3,COMPRESSOR 2 STATUS REVERT,Historical
2017-07-27 18:36:23.0,2017-07-27 21:55:23.0,ch3,COMPRESSOR 2 STATUS REVERT,Historical
2017-07-27 18:36:23.0,2017-07-27 21:55:23.0,ch3,COMPRESSOR 2 HIGH PRESSURE SWITCH,Historical
2017-07-14 15:23:23.0,2017-07-17 11:35:23.0,ch3,COMPRESSOR 2 LOW PRESSURE SWITCH,Historical
2017-07-24 11:07:24.0,2017-07-24 13:38:23.0,ch3,COMPRESSOR 2 LOW PRESSURE SWITCH,Historical
2017-07-27 18:36:23.0,2017-07-27 21:55:23.0,ch3,COMPRESSOR 2 LOW PRESSURE SWITCH,Historical
2017-07-05 18:52:33.0,2017-07-05 18:55:33.0,ch4,COMPRESSOR 1 LOW PRESSURE SWITCH,Historical
2017-07-17 07:24:33.0,2017-07-17 11:35:33.0,ch4,COMPRESSOR 1 LOW PRESSURE SWITCH,Historical
2017-07-08 05:10:33.0,2017-07-10 07:18:33.0,ch4,COMPRESSOR 1 STATUS REVERT,Historical
2017-07-17 13:32:33.0,2017-07-17 13:49:33.0,ch4,COMPRESSOR 1 STATUS REVERT,Historical
2017-07-17 13:59:33.0,2017-07-17 14:53:33.0,ch4,COMPRESSOR 1 STATUS REVERT,Historical
2017-07-17 15:03:33.0,2017-07-17 16:01:33.0,ch4,COMPRESSOR 1 STATUS REVERT,Historical
2017-07-17 16:10:33.0,2017-07-20 10:38:33.0,ch4,COMPRESSOR 1 STATUS REVERT,Historical
2017-07-27 18:36:33.0,2017-07-27 21:55:33.0,ch4,COMPRESSOR 1 STATUS REVERT,Historical
2017-07-05 18:52:33.0,2017-07-05 18:55:33.0,ch4,COMPRESSOR 2 STATUS REVERT,Historical
2017-07-14 15:23:33.0,2017-07-17 11:35:33.0,ch4,COMPRESSOR 2 STATUS REVERT,Historical
2017-07-21 16:55:33.0,2017-07-23 08:31:33.0,ch4,COMPRESSOR 2 STATUS REVERT,Historical
2017-07-24 11:07:33.0,2017-07-24 13:38:33.0,ch4,COMPRESSOR 2 STATUS REVERT,Historical
2017-07-27 18:36:33.0,2017-07-27 21:55:33.0,ch4,COMPRESSOR 2 STATUS REVERT,Historical
2017-07-27 18:36:33.0,2017-07-27 21:55:33.0,ch4,COMPRESSOR 2 HIGH PRESSURE SWITCH,Historical
2017-07-05 18:52:33.0,2017-07-05 18:55:33.0,ch4,COMPRESSOR 2 LOW PRESSURE SWITCH,Historical
2017-07-14 15:23:33.0,2017-07-17 11:35:33.0,ch4,COMPRESSOR 2 LOW PRESSURE SWITCH,Historical
2017-07-24 11:07:33.0,2017-07-24 13:38:33.0,ch4,COMPRESSOR 2 LOW PRESSURE SWITCH,Historical
2017-07-27 18:36:33.0,2017-07-27 21:55:33.0,ch4,COMPRESSOR 2 LOW PRESSURE SWITCH,Historical
